역번호,역명,구분,시간대,평일 분포,평일 매개변수,평일 데이터수,주말 분포,주말 매개변수,주말 데이터수,승자,승리 횟수,승리 항목
224,서초,승차,16시-17시,"Triangular(min=653.635, mode=1877.000, max=2097.033)","(np.float64(0.8475590596662712), np.float64(653.6354214943293), np.float64(1443.3974418451994))",198,"Triangular(min=321.561, mode=1965.000, max=2196.040)","(np.float64(0.8767445181757729), np.float64(321.5611710551318), np.float64(1874.478590825709))",153,평일,3,"['mean', 'median', 'mode']"
224,서초,승차,17시-18시,"Triangular(min=217.952, mode=3140.000, max=3493.548)","(np.float64(0.8920659314848323), np.float64(217.95173347169504), np.float64(3275.596750641018))",207,"Weibull(shape=1.544, scale=518.078)","(np.float64(1.5439666113093673), np.float64(643.4848885770369), np.float64(518.078302377172))",120,평일,3,"['mean', 'median', 'mode']"
224,서초,승차,18시-19시,"Triangular(min=0.000, mode=4346.000, max=5611.348)","(np.float64(0.7745019910595149), 0, np.float64(5611.347743668404))",208,"Weibull(shape=1.286, scale=509.956)","(np.float64(1.2863752844175698), np.float64(552.0918652153882), np.float64(509.95592638187077))",120,평일,3,"['mean', 'median', 'mode']"
224,서초,승차,19시-20시,"Lognormal(normalMean=6.649, normalStdDev=0.119)","(np.float64(0.11912927116060308), 1127.286654998514, np.float64(772.1668301087063))",144,"Weibull(shape=2.610, scale=1160.488)","(np.float64(2.6101565108700635), np.float64(46.289945616673265), np.float64(1160.4877906929144))",144,평일,3,"['mean', 'median', 'mode']"
224,서초,승차,20시-21시,"Lognormal(normalMean=6.029, normalStdDev=0.206)","(np.float64(0.2058724743412547), 884.8203095005442, np.float64(415.4857975603922))",145,"Triangular(min=249.237, mode=669.000, max=1450.967)","(np.float64(0.3492989947818498), np.float64(249.23662000182574), np.float64(1201.7308559795483))",140,평일,3,"['mean', 'median', 'mode']"
224,서초,승차,21시-22시,"Triangular(min=663.435, mode=1958.000, max=1958.000)","(np.float64(0.999999996137366), np.float64(663.4348424428306), np.float64(1294.5651688447388))",188,"Triangular(min=185.296, mode=653.000, max=1504.804)","(np.float64(0.3544532077388648), np.float64(185.2960648835699), np.float64(1319.5082595694835))",142,평일,3,"['mean', 'median', 'mode']"
224,서초,승차,22시-23시,"Triangular(min=367.495, mode=1217.000, max=1217.000)","(np.float64(0.9999999580929488), np.float64(367.49471663884947), np.float64(849.5053369169091))",162,"Triangular(min=127.915, mode=373.000, max=1185.179)","(np.float64(0.23181058051939324), np.float64(127.91489310247871), np.float64(1057.2645405056471))",152,평일,3,"['mean', 'median', 'mode']"
224,서초,승차,23시-24시,"Gamma(alpha=9414.442, beta=0.501)","(np.float64(9414.442154707525), np.float64(-4453.179208406858), np.float64(0.5006066399339462))",152,"Lognormal(normalMean=4.959, normalStdDev=0.817)","(np.float64(0.8172902079504181), 34.3599565331966, np.float64(142.4425670237984))",135,평일,3,"['mean', 'median', 'mode']"
224,서초,승차,24시-01시,"Triangular(min=0.000, mode=45.000, max=82.901)","(np.float64(0.542814569296368), 0, np.float64(82.90123836101155))",156,"Triangular(min=0.000, mode=1.000, max=193.938)","(np.float64(0.0051562973394947125), 0, np.float64(193.93761322785778))",118,평일,3,"['mean', 'median', 'mode']"
224,서초,승차,01시-02시,"Triangular(min=35.254, mode=51.000, max=67.165)","(np.float64(0.4934344039661295), np.float64(35.25365263092281), np.float64(31.911737391675697))",201,"Triangular(min=24.016, mode=59.000, max=86.075)","(np.float64(0.5637179837586899), np.float64(24.016018783355065), np.float64(62.05936694972474))",152,주말,2,"['mean', 'median']"
224,서초,승차,02시-03시,"Triangular(min=24.030, mode=36.000, max=47.215)","(np.float64(0.5162899796506726), np.float64(24.029524857295314), np.float64(23.185565425947964))",195,"Triangular(min=17.103, mode=39.000, max=61.164)","(np.float64(0.49697083023671396), np.float64(17.102751331719777), np.float64(44.06143645618497))",149,주말,3,"['mean', 'median', 'mode']"
224,서초,승차,03시-04시,"Weibull(shape=2.626, scale=10.313)","(np.float64(2.6260815677286455), np.float64(20.070524112549798), np.float64(10.313494675832917))",195,"Triangular(min=14.672, mode=33.000, max=47.774)","(np.float64(0.553673090434629), np.float64(14.6724518115204), np.float64(33.10174999583099))",148,주말,3,"['mean', 'median', 'mode']"
224,서초,승차,04시-05시,"Weibull(shape=2.792, scale=7.833)","(np.float64(2.7917820468398458), np.float64(12.944007103814826), np.float64(7.833491140379202))",199,"Triangular(min=9.711, mode=22.000, max=32.804)","(np.float64(0.5321578382674252), np.float64(9.711290064625643), np.float64(23.09222763229168))",152,주말,3,"['mean', 'median', 'mode']"
225,방배,승차,05시-06시,"Weibull(shape=3.547, scale=38.296)","(np.float64(3.546925009496289), np.float64(63.95719388354083), np.float64(38.295793229622994))",195,"Weibull(shape=2.582, scale=58.145)","(np.float64(2.581548631425755), np.float64(23.98690630008516), np.float64(58.14525297941614))",156,평일,3,"['mean', 'median', 'mode']"
225,방배,승차,06시-07시,"Triangular(min=0.000, mode=398.000, max=419.434)","(np.float64(0.9488976734918486), 0, np.float64(419.4340560867726))",208,"Triangular(min=0.000, mode=372.000, max=401.111)","(np.float64(0.9274237978985564), 0, np.float64(401.1111218545961))",156,평일,2,"['mean', 'median']"
225,방배,승차,07시-08시,"Triangular(min=0.000, mode=1136.000, max=1136.000)","(np.float64(0.999999968610839), 0, np.float64(1136.0000806274768))",208,"Lognormal(normalMean=5.842, normalStdDev=0.195)","(np.float64(0.19511487521681606), -202.54069155939453, np.float64(344.54579926706907))",118,평일,3,"['mean', 'median', 'mode']"
225,방배,승차,08시-09시,"Triangular(min=0.000, mode=1503.000, max=1608.276)","(np.float64(0.9345410170620427), 0, np.float64(1608.2761190327337))",208,"Triangular(min=98.076, mode=203.000, max=508.249)","(np.float64(0.25580488130486745), np.float64(98.07562455144537), np.float64(410.17346859153736))",118,평일,3,"['mean', 'median', 'mode']"
225,방배,승차,09시-10시,"Triangular(min=859.786, mode=1056.000, max=1210.506)","(np.float64(0.5594605453647279), np.float64(859.7861871827062), np.float64(350.7196788704453))",186,"Triangular(min=0.000, mode=933.000, max=1211.563)","(np.float64(0.7700795758232565), 0, np.float64(1211.5631024148959))",156,평일,3,"['mean', 'median', 'mode']"
225,방배,승차,10시-11시,"Lognormal(normalMean=6.614, normalStdDev=0.092)","(np.float64(0.0915746556661882), 7.172401876945581, np.float64(745.7066822812001))",147,"Weibull(shape=2.882, scale=537.758)","(np.float64(2.882327558741605), np.float64(38.18020612501043), np.float64(537.7575709537532))",144,평일,3,"['mean', 'median', 'mode']"
225,방배,승차,11시-12시,"Weibull(shape=2.222, scale=267.634)","(np.float64(2.221905487887657), np.float64(583.1937514221481), np.float64(267.6341732167417))",188,"Triangular(min=181.379, mode=708.000, max=1053.639)","(np.float64(0.6037426674909832), np.float64(181.37943347219706), np.float64(872.2599791044775))",155,평일,3,"['mean', 'median', 'mode']"
225,방배,승차,12시-13시,"Triangular(min=527.113, mode=786.000, max=967.698)","(np.float64(0.5875981621634258), np.float64(527.1129420899697), np.float64(440.58520698129234))",198,"Weibull(shape=4.230, scale=704.823)","(np.float64(4.23019310989239), np.float64(75.04169426848205), np.float64(704.8225327458902))",151,평일,3,"['mean', 'median', 'mode']"
225,방배,승차,13시-14시,"Weibull(shape=3.151, scale=479.816)","(np.float64(3.150594722326283), np.float64(401.0937280589528), np.float64(479.8157121422741))",200,"Weibull(shape=3.678, scale=654.661)","(np.float64(3.678046903160653), np.float64(183.05585412242476), np.float64(654.6609857001192))",153,평일,3,"['mean', 'median', 'mode']"
225,방배,승차,14시-15시,"Triangular(min=316.109, mode=1196.000, max=1354.623)","(np.float64(0.8472594072721678), np.float64(316.1085557935493), np.float64(1038.5148122202727))",207,"Weibull(shape=2.884, scale=664.344)","(np.float64(2.8842702776347284), np.float64(230.20260087528806), np.float64(664.3437315108301))",155,평일,3,"['mean', 'median', 'mode']"
225,방배,승차,15시-16시,"Triangular(min=243.390, mode=1382.000, max=1681.892)","(np.float64(0.7915248848924665), np.float64(243.38982199078333), np.float64(1438.5020606932235))",208,"Weibull(shape=2.421, scale=729.865)","(np.float64(2.4205181480700686), np.float64(196.44413010227316), np.float64(729.8652829763491))",155,평일,3,"['mean', 'median', 'mode']"
225,방배,승차,16시-17시,"Triangular(min=169.223, mode=1782.000, max=2102.180)","(np.float64(0.8343573944933481), np.float64(169.2234199729725), np.float64(1932.9565371760093))",208,"Triangular(min=215.066, mode=603.000, max=1831.662)","(np.float64(0.23996982072481332), np.float64(215.06566894714678), np.float64(1616.5963281667482))",145,평일,3,"['mean', 'median', 'mode']"
225,방배,승차,17시-18시,"Triangular(min=285.845, mode=2186.000, max=2648.774)","(np.float64(0.8041522865566431), np.float64(285.84475318011835), np.float64(2362.9296074690583))",204,"Lognormal(normalMean=6.577, normalStdDev=0.588)","(np.float64(0.5877792527977885), 109.3767289028943, np.float64(718.2175347488204))",143,평일,3,"['mean', 'median', 'mode']"
225,방배,승차,18시-19시,"Triangular(min=337.695, mode=3304.000, max=3508.353)","(np.float64(0.9355487547678516), np.float64(337.6952968463129), np.float64(3170.6575291094678))",199,"Weibull(shape=0.972, scale=376.992)","(np.float64(0.9716438747573584), np.float64(420.9999999999999), np.float64(376.9916337333624))",125,평일,3,"['mean', 'median', 'mode']"
225,방배,승차,19시-20시,"Triangular(min=897.674, mode=1200.000, max=1927.500)","(np.float64(0.29356990789854076), np.float64(897.6742596704175), np.float64(1029.825374455711))",180,"Triangular(min=132.144, mode=395.000, max=1859.403)","(np.float64(0.15218091866223937), np.float64(132.14425153602218), np.float64(1727.258257966243))",149,평일,3,"['mean', 'median', 'mode']"
